Number,Age,Gender,BirthPlace,Education," «Маш, а Вы не могли бы подойти, пожалуйста?»","«Даш, Вы тоже решили пораньше прийти?»","«Саш, Вы не могли бы закрыть окно, пожалуйста?»"
311,18,Мужской,Санкт-Петербург ,неоконченное высшее,нормально,нормально,нормально
312,17,Женский,Челябинск,неоконченное высшее,фамильярно,нормально,нормально
313,18,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
314,27,Мужской,Рязань,высшее,нормально,нормально,нормально
315,18,Женский,Москва,неоконченное высшее,фамильярно,нормально,нормально
316,18,Мужской,"Чехия, но вырос в Санкт-Петербурге",среднее,грубо,фамильярно,фамильярно
317,18,Женский,Москва,среднее,нормально,нормально,нормально
318,18,Женский,В Таджикистане,неоконченное высшее,нормально,нормально,нормально
319,18,Женский,Хабаровск,неоконченное высшее,нормально,нормально,нормально
320,18,Женский,Новороссийск,неоконченное высшее,нормально,нормально,нормально
321,15,Женский,Москва,незаконченное среднее (=школьник),фамильярно,нормально,нормально
322,22,Женский,Санкт-Петербург,высшее,грубо,фамильярно,фамильярно
323,17,Женский,Москва ,неоконченное высшее,нормально,нормально,нормально
324,16,Женский,Россия,незаконченное среднее (=школьник),фамильярно,фамильярно,нормально
325,18,Женский,Вышний Волочек,неоконченное высшее,нормально,нормально,нормально
326,18,Женский,Москва,неоконченное высшее,нормально,нормально,нормально
327,18,Женский,Москва,среднее,фамильярно,нормально,нормально
328,49,Мужской,Ленинград,высшее,нормально,нормально,нормально
329,18,Женский,Омск,среднее,нормально,нормально,нормально
330,19,Женский,Новосибирск,неоконченное высшее,фамильярно,нормально,фамильярно
331,18,Женский,Мурманск ,среднее,фамильярно,нормально,нормально
332,21,Мужской,мск,неоконченное высшее,нормально,нормально,фамильярно
333,21,Женский,Санкт-Петербург,высшее,фамильярно,нормально,нормально
334,29,Женский,Дальний Восток,высшее,фамильярно,нормально,нормально
335,17,Женский,Москва,неоконченное высшее,фамильярно,нормально,нормально
336,47,Женский,Москва,высшее,фамильярно,нормально,фамильярно
337,57,Мужской,Москва,высшее,нормально,нормально,нормально
